route	backend	scenario	temperature	runs	avg_total_ms	min_total_ms	max_total_ms	avg_parse_ms	avg_encode_ms	avg_send_ms	response_bytes	avg_changed	cache_hits	result_count	dataset_bytes	max_file_bytes
direct	claudecode	history-large	cold	5	65.7444	65.347	66.058	60.6642	2.3856	2.1802	1142857	0	0	200	6139357	6139357
direct	claudecode	history-large	hot	5	66.6038	65.771	67.56	61.3644	2.3466	2.3682	1142856	0	0	200	6139357	6139357
direct	claudecode	history-small	cold	5	1.361	1.21	1.546	1.0076	0.1516	0.1238	64069	0	0	9	86591	86591
direct	claudecode	history-small	hot	5	1.2198	1.134	1.256	0.9442	0.1086	0.1094	64068	0	0	9	86591	86591
direct	claudecode	list	cold	5	117.21	115.898	118.497	115.775	0.0796	0.1334	20925	0	0	71	59802036	6139357
direct	claudecode	list	hot	5	115.645	112.8	121.626	114.309	0.0718	0.1124	20924	0	0	71	59802036	6139357
direct	codex	history-large	cold	5	324.42	311.506	361.806	278.669	17.6814	18.8708	12453343	0	0	51	47825232	47825232
direct	codex	history-large	hot	5	312.326	311.743	313.804	267.477	17.4706	18.5354	12453342	0	0	51	47825232	47825232
direct	codex	history-small	cold	5	7.3178	6.923	7.775	0.3852	0.0074	0.0268	395	0	0	1	65604	65604
direct	codex	history-small	hot	5	7.2588	6.939	7.597	0.43	0.0086	0.0288	394	0	0	1	65604	65604
direct	codex	list	cold	5	727.773	713.233	742.461	723.782	0.4554	0.4584	147917	536	0	534	1279686117	47825232
direct	codex	list	hot	5	3.952	3.631	4.132	0.1228	0.5012	0.441	147916	2	0	534	1279686117	47825232
relay	claudecode	history-large	cold	5	69.2442	65.281	78.201	63.137	2.0968	3.4906	1142856	0	0	200	6139357	6139357
relay	claudecode	history-large	hot	5	67.1986	65.701	68.813	60.8424	2.6024	3.3442	1142855	0	0	200	6139357	6139357
relay	claudecode	history-small	cold	5	1.641	1.345	2.547	1.1646	0.1572	0.2346	64068	0	0	9	86591	86591
relay	claudecode	history-small	hot	5	1.3166	1.256	1.434	0.9662	0.1128	0.1822	64067	0	0	9	86591	86591
relay	claudecode	list	cold	5	125.745	118.564	146.59	124.119	0.075	0.0972	20924	0	0	71	59802036	6139357
relay	claudecode	list	hot	5	119.015	117.147	121.192	117.643	0.1418	0.1078	20923	0	0	71	59802036	6139357
relay	codex	history-large	cold	5	335.909	329.717	354.201	269.315	18.6846	36.2432	12453342	0	0	51	47825232	47825232
relay	codex	history-large	hot	5	331.588	325.802	336.345	268.045	18.114	35.7702	12453341	0	0	51	47825232	47825232
relay	codex	history-small	cold	5	7.0416	6.831	7.34	0.4406	0.008	0.017	394	0	0	1	65604	65604
relay	codex	history-small	hot	5	7.0024	6.794	7.208	0.394	0.0076	0.0174	393	0	0	1	65604	65604
relay	codex	list	cold	5	732.105	726.196	739.387	727.615	0.4796	0.8446	147916	536	0	534	1279692973	47825232
relay	codex	list	hot	5	6.8668	5.309	10.731	0.175	0.5466	0.9318	147915	2	0	534	1279692973	47825232
